"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
3393;3519000029954048;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3394;3519000029954048;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3395;3519000029954048;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3397;3519408416759808;"http://bbc.in/cXlOkY";47;67;2;"http://bbc.in/cXlOkY";"http://news.bbc.co.uk/sport2/hi/rugby_union/9177377.stm?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/cXlOkY";"";"";0;"";"";"";""
3398;3519408416759808;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3401;3519535499976704;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3402;3519535499976704;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3403;3519535499976704;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3406;3520028834009088;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3407;3520028834009088;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3408;3520028834009088;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3410;3520706834866176;"http://bbc.in/aBD6gY";48;68;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3411;3520706834866176;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3414;3520967393419266;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3415;3520967393419266;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3416;3520967393419266;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3419;3521225783517184;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3420;3521225783517184;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3421;3521225783517184;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3422;3522320656236544;"http://bbc.in/aBD6gY";34;54;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3423;3522495424503810;"http://bbc.in/aBD6gY";47;67;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3424;3522495424503810;"BBCNews";3;11;3;"";"";"";"BBC News";"BBCNews";612473;"";"";"";""
3426;3523177883897856;"http://bbc.in/aBD6gY";47;67;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3427;3523177883897856;"BBCNews";3;11;3;"";"";"";"BBC News";"BBCNews";612473;"";"";"";""
3429;3523897374801920;"http://bbc.in/aBD6gY";48;68;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3430;3523897374801920;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3431;3331242309189632;"http://nyti.ms/cTbnQz";59;80;2;"http://nyti.ms/cTbnQz";"http://www.nytimes.com/2010/11/14/fashion/14WHATIWORE.html?src=twt&twt=nytimesfashion";"http://nyti.ms/cTbnQz";"";"";0;"";"";"";""
3432;3524787401924608;"http://nyti.ms/cTbnQz";79;100;2;"http://nyti.ms/cTbnQz";"http://www.nytimes.com/2010/11/14/fashion/14WHATIWORE.html?src=twt&twt=nytimesfashion";"http://nyti.ms/cTbnQz";"";"";0;"";"";"";""
3433;3524787401924608;"nytimesfashion";3;18;3;"";"";"";"NYTimes Fashion";"nytimesfashion";16929349;"";"";"";""
3436;3526004609916928;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3437;3526004609916928;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3438;3526004609916928;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
